"Statistic Label","Year","NUTS 2 Region","UNIT","VALUE"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2023","Eastern & Midland","Euro Million","10193.25"
"Total Household Income","2000","Ireland","Euro Million","66806.88"
"Total Household Income","2000","Northern & Western","Euro Million","10205.8"
"Total Household Income","2000","Southern","Euro Million","21505.8"
"Total Household Income","2000","Eastern & Midland","Euro Million","35095.28"
"Total Household Income","2001","Ireland","Euro Million","75292.75"
"Total Household Income","2001","Northern & Western","Euro Million","11495.06"
"Total Household Income","2001","Southern","Euro Million","24242.25"
"Total Household Income","2001","Eastern & Midland","Euro Million","39555.44"
"Total Household Income","2002","Ireland","Euro Million","79429.74"
"Total Household Income","2002","Northern & Western","Euro Million","12070.98"
"Total Household Income","2002","Southern","Euro Million","25519.41"
"Total Household Income","2002","Eastern & Midland","Euro Million","41839.34"
"Total Household Income","2003","Ireland","Euro Million","85809.49"
"Total Household Income","2003","Northern & Western","Euro Million","13019.72"
"Total Household Income","2003","Southern","Euro Million","27809.8"
"Total Household Income","2003","Eastern & Midland","Euro Million","44979.97"
"Total Household Income","2004","Ireland","Euro Million","93169.93"
"Total Household Income","2004","Northern & Western","Euro Million","14117.49"
"Total Household Income","2004","Southern","Euro Million","30451.32"
"Total Household Income","2004","Eastern & Midland","Euro Million","48601.11"
"Total Household Income","2005","Ireland","Euro Million","102828.76"
"Total Household Income","2005","Northern & Western","Euro Million","15456.15"
"Total Household Income","2005","Southern","Euro Million","33844.38"
"Total Household Income","2005","Eastern & Midland","Euro Million","53528.23"
"Total Household Income","2006","Ireland","Euro Million","111318.81"
"Total Household Income","2006","Northern & Western","Euro Million","16703.62"
"Total Household Income","2006","Southern","Euro Million","36478.98"
"Total Household Income","2006","Eastern & Midland","Euro Million","58136.22"
"Total Household Income","2007","Ireland","Euro Million","122062.15"
"Total Household Income","2007","Northern & Western","Euro Million","18567.28"
"Total Household Income","2007","Southern","Euro Million","39884.89"
"Total Household Income","2007","Eastern & Midland","Euro Million","63609.98"
"Total Household Income","2008","Ireland","Euro Million","127138.51"
"Total Household Income","2008","Northern & Western","Euro Million","19363.05"
"Total Household Income","2008","Southern","Euro Million","41422.47"
"Total Household Income","2008","Eastern & Midland","Euro Million","66352.99"
"Total Household Income","2009","Ireland","Euro Million","120802.71"
"Total Household Income","2009","Northern & Western","Euro Million","19106.72"
"Total Household Income","2009","Southern","Euro Million","39499.64"
"Total Household Income","2009","Eastern & Midland","Euro Million","62196.36"
"Total Household Income","2010","Ireland","Euro Million","115478.03"
"Total Household Income","2010","Northern & Western","Euro Million","18183.19"
"Total Household Income","2010","Southern","Euro Million","37804.12"
"Total Household Income","2010","Eastern & Midland","Euro Million","59490.73"
"Total Household Income","2011","Ireland","Euro Million","116475.52"
"Total Household Income","2011","Northern & Western","Euro Million","18701.08"
"Total Household Income","2011","Southern","Euro Million","38066.1"
"Total Household Income","2011","Eastern & Midland","Euro Million","59708.33"
"Total Household Income","2012","Ireland","Euro Million","120475.23"
"Total Household Income","2012","Northern & Western","Euro Million","19189.38"
"Total Household Income","2012","Southern","Euro Million","39572.28"
"Total Household Income","2012","Eastern & Midland","Euro Million","61713.57"
"Total Household Income","2013","Ireland","Euro Million","120389.8"
"Total Household Income","2013","Northern & Western","Euro Million","19148.93"
"Total Household Income","2013","Southern","Euro Million","39267.87"
"Total Household Income","2013","Eastern & Midland","Euro Million","61973"
"Total Household Income","2014","Ireland","Euro Million","124219.42"
"Total Household Income","2014","Northern & Western","Euro Million","19737.19"
"Total Household Income","2014","Southern","Euro Million","40484.47"
"Total Household Income","2014","Eastern & Midland","Euro Million","63997.76"
"Total Household Income","2015","Ireland","Euro Million","131400.56"
"Total Household Income","2015","Northern & Western","Euro Million","20681.11"
"Total Household Income","2015","Southern","Euro Million","42572.83"
"Total Household Income","2015","Eastern & Midland","Euro Million","68146.63"
"Total Household Income","2016","Ireland","Euro Million","136914.59"
"Total Household Income","2016","Northern & Western","Euro Million","21278"
"Total Household Income","2016","Southern","Euro Million","43985.65"
"Total Household Income","2016","Eastern & Midland","Euro Million","71650.93"
"Total Household Income","2017","Ireland","Euro Million","146028.61"
"Total Household Income","2017","Northern & Western","Euro Million","22520.86"
"Total Household Income","2017","Southern","Euro Million","46940.41"
"Total Household Income","2017","Eastern & Midland","Euro Million","76567.34"
"Total Household Income","2018","Ireland","Euro Million","152933.68"
"Total Household Income","2018","Northern & Western","Euro Million","23565.71"
"Total Household Income","2018","Southern","Euro Million","48624.24"
"Total Household Income","2018","Eastern & Midland","Euro Million","80743.72"
"Total Household Income","2019","Ireland","Euro Million","163816.97"
"Total Household Income","2019","Northern & Western","Euro Million","25004.51"
"Total Household Income","2019","Southern","Euro Million","51575.21"
"Total Household Income","2019","Eastern & Midland","Euro Million","87237.26"
"Total Household Income","2020","Ireland","Euro Million","169055.58"
"Total Household Income","2020","Northern & Western","Euro Million","26373.17"
"Total Household Income","2020","Southern","Euro Million","53331.32"
"Total Household Income","2020","Eastern & Midland","Euro Million","89351.09"
"Total Household Income","2021","Ireland","Euro Million","184134.57"
"Total Household Income","2021","Northern & Western","Euro Million","27963.57"
"Total Household Income","2021","Southern","Euro Million","57500.65"
"Total Household Income","2021","Eastern & Midland","Euro Million","98670.35"
"Total Household Income","2022","Ireland","Euro Million","199717.83"
"Total Household Income","2022","Northern & Western","Euro Million","30103.34"
"Total Household Income","2022","Southern","Euro Million","62145.18"
"Total Household Income","2022","Eastern & Midland","Euro Million","107469.32"
"Total Household Income","2023","Ireland","Euro Million","218867.17"
"Total Household Income","2023","Northern & Western","Euro Million","32868.39"
"Total Household Income","2023","Southern","Euro Million","67667.71"
"Total Household Income","2023","Eastern & Midland","Euro Million","118331.07"
"Total Income per Person","2000","Ireland","Euro","17561.1"
