"Statistic Label","Year","NUTS 2 Region","UNIT","VALUE"
"Disposable Income per Person","2019","Northern & Western","Euro","21105.08"
"Disposable Income per Person","2019","Southern","Euro","22710.48"
"Disposable Income per Person","2019","Eastern & Midland","Euro","23306.14"
"Disposable Income per Person","2020","Ireland","Euro","23647.81"
"Disposable Income per Person","2020","Northern & Western","Euro","22452.73"
"Disposable Income per Person","2020","Southern","Euro","23488.46"
"Disposable Income per Person","2020","Eastern & Midland","Euro","24191.78"
"Disposable Income per Person","2021","Ireland","Euro","24542.6"
"Disposable Income per Person","2021","Northern & Western","Euro","22607.45"
"Disposable Income per Person","2021","Southern","Euro","24281.19"
"Disposable Income per Person","2021","Eastern & Midland","Euro","25421.39"
"Disposable Income per Person","2022","Ireland","Euro","25975.44"
"Disposable Income per Person","2022","Northern & Western","Euro","23865.06"
"Disposable Income per Person","2022","Southern","Euro","25862.12"
"Disposable Income per Person","2022","Eastern & Midland","Euro","26803.62"
"Disposable Income per Person","2023","Ireland","Euro","28370.41"
"Disposable Income per Person","2023","Northern & Western","Euro","26256.02"
"Disposable Income per Person","2023","Southern","Euro","28234.57"
"Disposable Income per Person","2023","Eastern & Midland","Euro","29201.61"
"Index of Disposable Income per Person","2000","Ireland","State=100","100"
"Index of Disposable Income per Person","2000","Northern & Western","State=100","91.91"
"Index of Disposable Income per Person","2000","Southern","State=100","100.71"
"Index of Disposable Income per Person","2000","Eastern & Midland","State=100","102.58"
"Index of Disposable Income per Person","2001","Ireland","State=100","100"
"Index of Disposable Income per Person","2001","Northern & Western","State=100","91.73"
"Index of Disposable Income per Person","2001","Southern","State=100","100.59"
"Index of Disposable Income per Person","2001","Eastern & Midland","State=100","102.73"
"Index of Disposable Income per Person","2002","Ireland","State=100","100"
"Index of Disposable Income per Person","2002","Northern & Western","State=100","91.32"
"Index of Disposable Income per Person","2002","Southern","State=100","101.7"
"Index of Disposable Income per Person","2002","Eastern & Midland","State=100","102.09"
"Index of Disposable Income per Person","2003","Ireland","State=100","100"
"Index of Disposable Income per Person","2003","Northern & Western","State=100","90.76"
"Index of Disposable Income per Person","2003","Southern","State=100","102.56"
"Index of Disposable Income per Person","2003","Eastern & Midland","State=100","101.69"
"Index of Disposable Income per Person","2004","Ireland","State=100","100"
"Index of Disposable Income per Person","2004","Northern & Western","State=100","90.18"
"Index of Disposable Income per Person","2004","Southern","State=100","103.53"
"Index of Disposable Income per Person","2004","Eastern & Midland","State=100","101.24"
"Index of Disposable Income per Person","2005","Ireland","State=100","100"
"Index of Disposable Income per Person","2005","Northern & Western","State=100","88.51"
"Index of Disposable Income per Person","2005","Southern","State=100","103.89"
"Index of Disposable Income per Person","2005","Eastern & Midland","State=100","101.61"
"Index of Disposable Income per Person","2006","Ireland","State=100","100"
"Index of Disposable Income per Person","2006","Northern & Western","State=100","89.96"
"Index of Disposable Income per Person","2006","Southern","State=100","104.32"
"Index of Disposable Income per Person","2006","Eastern & Midland","State=100","100.75"
"Index of Disposable Income per Person","2007","Ireland","State=100","100"
"Index of Disposable Income per Person","2007","Northern & Western","State=100","90.7"
"Index of Disposable Income per Person","2007","Southern","State=100","103.74"
"Index of Disposable Income per Person","2007","Eastern & Midland","State=100","100.87"
"Index of Disposable Income per Person","2008","Ireland","State=100","100"
"Index of Disposable Income per Person","2008","Northern & Western","State=100","90.81"
"Index of Disposable Income per Person","2008","Southern","State=100","103.85"
"Index of Disposable Income per Person","2008","Eastern & Midland","State=100","100.75"
"Index of Disposable Income per Person","2009","Ireland","State=100","100"
"Index of Disposable Income per Person","2009","Northern & Western","State=100","94.64"
"Index of Disposable Income per Person","2009","Southern","State=100","104.28"
"Index of Disposable Income per Person","2009","Eastern & Midland","State=100","99.02"
"Index of Disposable Income per Person","2010","Ireland","State=100","100"
"Index of Disposable Income per Person","2010","Northern & Western","State=100","94.33"
"Index of Disposable Income per Person","2010","Southern","State=100","104.15"
"Index of Disposable Income per Person","2010","Eastern & Midland","State=100","99.24"
"Index of Disposable Income per Person","2011","Ireland","State=100","100"
"Index of Disposable Income per Person","2011","Northern & Western","State=100","95.75"
"Index of Disposable Income per Person","2011","Southern","State=100","103.8"
"Index of Disposable Income per Person","2011","Eastern & Midland","State=100","98.96"
"Index of Disposable Income per Person","2012","Ireland","State=100","100"
"Index of Disposable Income per Person","2012","Northern & Western","State=100","95.8"
"Index of Disposable Income per Person","2012","Southern","State=100","104.8"
"Index of Disposable Income per Person","2012","Eastern & Midland","State=100","98.24"
"Index of Disposable Income per Person","2013","Ireland","State=100","100"
"Index of Disposable Income per Person","2013","Northern & Western","State=100","95.69"
"Index of Disposable Income per Person","2013","Southern","State=100","104.07"
"Index of Disposable Income per Person","2013","Eastern & Midland","State=100","98.8"
"Index of Disposable Income per Person","2014","Ireland","State=100","100"
"Index of Disposable Income per Person","2014","Northern & Western","State=100","95.85"
"Index of Disposable Income per Person","2014","Southern","State=100","104.08"
"Index of Disposable Income per Person","2014","Eastern & Midland","State=100","98.72"
"Index of Disposable Income per Person","2015","Ireland","State=100","100"
"Index of Disposable Income per Person","2015","Northern & Western","State=100","94.69"
"Index of Disposable Income per Person","2015","Southern","State=100","103.48"
"Index of Disposable Income per Person","2015","Eastern & Midland","State=100","99.58"
"Index of Disposable Income per Person","2016","Ireland","State=100","100"
"Index of Disposable Income per Person","2016","Northern & Western","State=100","92.59"
"Index of Disposable Income per Person","2016","Southern","State=100","102.15"
"Index of Disposable Income per Person","2016","Eastern & Midland","State=100","101.31"
"Index of Disposable Income per Person","2017","Ireland","State=100","100"
"Index of Disposable Income per Person","2017","Northern & Western","State=100","91.74"
"Index of Disposable Income per Person","2017","Southern","State=100","102.26"
"Index of Disposable Income per Person","2017","Eastern & Midland","State=100","101.55"
"Index of Disposable Income per Person","2018","Ireland","State=100","100"
"Index of Disposable Income per Person","2018","Northern & Western","State=100","91.66"
"Index of Disposable Income per Person","2018","Southern","State=100","100.53"
"Index of Disposable Income per Person","2018","Eastern & Midland","State=100","102.79"
"Index of Disposable Income per Person","2019","Ireland","State=100","100"
"Index of Disposable Income per Person","2019","Northern & Western","State=100","92.91"
"Index of Disposable Income per Person","2019","Southern","State=100","99.98"
"Index of Disposable Income per Person","2019","Eastern & Midland","State=100","102.6"
"Index of Disposable Income per Person","2020","Ireland","State=100","100"
"Index of Disposable Income per Person","2020","Northern & Western","State=100","94.95"
"Index of Disposable Income per Person","2020","Southern","State=100","99.33"
"Index of Disposable Income per Person","2020","Eastern & Midland","State=100","102.3"
"Index of Disposable Income per Person","2021","Ireland","State=100","100"
"Index of Disposable Income per Person","2021","Northern & Western","State=100","92.12"
"Index of Disposable Income per Person","2021","Southern","State=100","98.93"
"Index of Disposable Income per Person","2021","Eastern & Midland","State=100","103.58"
"Index of Disposable Income per Person","2022","Ireland","State=100","100"
"Index of Disposable Income per Person","2022","Northern & Western","State=100","91.88"
"Index of Disposable Income per Person","2022","Southern","State=100","99.56"
"Index of Disposable Income per Person","2022","Eastern & Midland","State=100","103.19"
"Index of Disposable Income per Person","2023","Ireland","State=100","100"
"Index of Disposable Income per Person","2023","Northern & Western","State=100","92.55"
"Index of Disposable Income per Person","2023","Southern","State=100","99.52"
"Index of Disposable Income per Person","2023","Eastern & Midland","State=100","102.93"
"Disposable Income per Person (excluding Rent)","2000","Ireland","Euro","11713.17"
"Disposable Income per Person (excluding Rent)","2000","Northern & Western","Euro","10874.85"
"Disposable Income per Person (excluding Rent)","2000","Southern","Euro","11948.36"
"Disposable Income per Person (excluding Rent)","2000","Eastern & Midland","Euro","11863.41"
"Disposable Income per Person (excluding Rent)","2001","Ireland","Euro","13206.5"
"Disposable Income per Person (excluding Rent)","2001","Northern & Western","Euro","12248.97"
"Disposable Income per Person (excluding Rent)","2001","Southern","Euro","13468.21"
"Disposable Income per Person (excluding Rent)","2001","Eastern & Midland","Euro","13382.46"
"Disposable Income per Person (excluding Rent)","2002","Ireland","Euro","13857.35"
"Disposable Income per Person (excluding Rent)","2002","Northern & Western","Euro","12808.07"
"Disposable Income per Person (excluding Rent)","2002","Southern","Euro","14309.92"
"Disposable Income per Person (excluding Rent)","2002","Eastern & Midland","Euro","13931.44"
"Disposable Income per Person (excluding Rent)","2003","Ireland","Euro","14756.8"
"Disposable Income per Person (excluding Rent)","2003","Northern & Western","Euro","13528.8"
"Disposable Income per Person (excluding Rent)","2003","Southern","Euro","15336.95"
"Disposable Income per Person (excluding Rent)","2003","Eastern & Midland","Euro","14809.74"
"Disposable Income per Person (excluding Rent)","2004","Ireland","Euro","15709.18"
"Disposable Income per Person (excluding Rent)","2004","Northern & Western","Euro","14274.2"
"Disposable Income per Person (excluding Rent)","2004","Southern","Euro","16437.89"
"Disposable Income per Person (excluding Rent)","2004","Eastern & Midland","Euro","15736.24"
"Disposable Income per Person (excluding Rent)","2005","Ireland","Euro","17007.87"
"Disposable Income per Person (excluding Rent)","2005","Northern & Western","Euro","15128.16"
"Disposable Income per Person (excluding Rent)","2005","Southern","Euro","17812.47"
"Disposable Income per Person (excluding Rent)","2005","Eastern & Midland","Euro","17150.96"
"Disposable Income per Person (excluding Rent)","2006","Ireland","Euro","17804.82"
"Disposable Income per Person (excluding Rent)","2006","Northern & Western","Euro","16090.41"
"Disposable Income per Person (excluding Rent)","2006","Southern","Euro","18702.67"
"Disposable Income per Person (excluding Rent)","2006","Eastern & Midland","Euro","17818.47"
"Disposable Income per Person (excluding Rent)","2007","Ireland","Euro","18542.21"
"Disposable Income per Person (excluding Rent)","2007","Northern & Western","Euro","16921.15"
"Disposable Income per Person (excluding Rent)","2007","Southern","Euro","19428.82"
"Disposable Income per Person (excluding Rent)","2007","Eastern & Midland","Euro","18527.73"
"Disposable Income per Person (excluding Rent)","2008","Ireland","Euro","19252.56"
"Disposable Income per Person (excluding Rent)","2008","Northern & Western","Euro","17617.57"
"Disposable Income per Person (excluding Rent)","2008","Southern","Euro","20253.25"
"Disposable Income per Person (excluding Rent)","2008","Eastern & Midland","Euro","19164.23"
"Disposable Income per Person (excluding Rent)","2009","Ireland","Euro","18322.86"
"Disposable Income per Person (excluding Rent)","2009","Northern & Western","Euro","17467.24"
"Disposable Income per Person (excluding Rent)","2009","Southern","Euro","19273.13"
"Disposable Income per Person (excluding Rent)","2009","Eastern & Midland","Euro","17978.2"
"Disposable Income per Person (excluding Rent)","2010","Ireland","Euro","16926.99"
"Disposable Income per Person (excluding Rent)","2010","Northern & Western","Euro","16110.72"
"Disposable Income per Person (excluding Rent)","2010","Southern","Euro","17813.74"
"Disposable Income per Person (excluding Rent)","2010","Eastern & Midland","Euro","16613.75"
"Disposable Income per Person (excluding Rent)","2011","Ireland","Euro","16680.36"
"Disposable Income per Person (excluding Rent)","2011","Northern & Western","Euro","16178.04"
"Disposable Income per Person (excluding Rent)","2011","Southern","Euro","17512.36"
"Disposable Income per Person (excluding Rent)","2011","Eastern & Midland","Euro","16290.29"
"Disposable Income per Person (excluding Rent)","2012","Ireland","Euro","17007.76"
"Disposable Income per Person (excluding Rent)","2012","Northern & Western","Euro","16474.04"
"Disposable Income per Person (excluding Rent)","2012","Southern","Euro","18025.32"
"Disposable Income per Person (excluding Rent)","2012","Eastern & Midland","Euro","16500.13"
"Disposable Income per Person (excluding Rent)","2013","Ireland","Euro","16797.58"
"Disposable Income per Person (excluding Rent)","2013","Northern & Western","Euro","16253.54"
"Disposable Income per Person (excluding Rent)","2013","Southern","Euro","17674.16"
"Disposable Income per Person (excluding Rent)","2013","Eastern & Midland","Euro","16392.21"
"Disposable Income per Person (excluding Rent)","2014","Ireland","Euro","16848.99"
"Disposable Income per Person (excluding Rent)","2014","Northern & Western","Euro","16345.64"
"Disposable Income per Person (excluding Rent)","2014","Southern","Euro","17747.02"
"Disposable Income per Person (excluding Rent)","2014","Eastern & Midland","Euro","16413.23"
"Disposable Income per Person (excluding Rent)","2015","Ireland","Euro","17603.23"
"Disposable Income per Person (excluding Rent)","2015","Northern & Western","Euro","16867.53"
"Disposable Income per Person (excluding Rent)","2015","Southern","Euro","18439.9"
"Disposable Income per Person (excluding Rent)","2015","Eastern & Midland","Euro","17298.34"
"Disposable Income per Person (excluding Rent)","2016","Ireland","Euro","18309.99"
"Disposable Income per Person (excluding Rent)","2016","Northern & Western","Euro","17266.91"
"Disposable Income per Person (excluding Rent)","2016","Southern","Euro","19006.69"
"Disposable Income per Person (excluding Rent)","2016","Eastern & Midland","Euro","18219.24"
"Disposable Income per Person (excluding Rent)","2017","Ireland","Euro","19215.48"
"Disposable Income per Person (excluding Rent)","2017","Northern & Western","Euro","17954.33"
"Disposable Income per Person (excluding Rent)","2017","Southern","Euro","19978.26"
"Disposable Income per Person (excluding Rent)","2017","Eastern & Midland","Euro","19161.28"
"Disposable Income per Person (excluding Rent)","2018","Ireland","Euro","19631.02"
"Disposable Income per Person (excluding Rent)","2018","Northern & Western","Euro","18347.68"
"Disposable Income per Person (excluding Rent)","2018","Southern","Euro","20065.71"
"Disposable Income per Person (excluding Rent)","2018","Eastern & Midland","Euro","19814.13"
"Disposable Income per Person (excluding Rent)","2019","Ireland","Euro","20658.49"
"Disposable Income per Person (excluding Rent)","2019","Northern & Western","Euro","19578.94"
"Disposable Income per Person (excluding Rent)","2019","Southern","Euro","21001.32"
"Disposable Income per Person (excluding Rent)","2019","Eastern & Midland","Euro","20817.83"
"Disposable Income per Person (excluding Rent)","2020","Ireland","Euro","21536.47"
"Disposable Income per Person (excluding Rent)","2020","Northern & Western","Euro","20889.24"
"Disposable Income per Person (excluding Rent)","2020","Southern","Euro","21738.91"
"Disposable Income per Person (excluding Rent)","2020","Eastern & Midland","Euro","21634.11"
"Disposable Income per Person (excluding Rent)","2021","Ireland","Euro","22338.71"
"Disposable Income per Person (excluding Rent)","2021","Northern & Western","Euro","21217.18"
"Disposable Income per Person (excluding Rent)","2021","Southern","Euro","22767.49"
"Disposable Income per Person (excluding Rent)","2021","Eastern & Midland","Euro","22453.75"
"Disposable Income per Person (excluding Rent)","2022","Ireland","Euro","23559"
"Disposable Income per Person (excluding Rent)","2022","Northern & Western","Euro","22275.98"
"Disposable Income per Person (excluding Rent)","2022","Southern","Euro","24160.03"
"Disposable Income per Person (excluding Rent)","2022","Eastern & Midland","Euro","23613.29"
"Disposable Income per Person (excluding Rent)","2023","Ireland","Euro","25389.45"
"Disposable Income per Person (excluding Rent)","2023","Northern & Western","Euro","24220.55"
"Disposable Income per Person (excluding Rent)","2023","Southern","Euro","26101.05"
"Disposable Income per Person (excluding Rent)","2023","Eastern & Midland","Euro","25328.38"
"Index of Disposable Income per Person (excluding Rent)","2000","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2000","Northern & Western","State=100","16.85"
"Index of Disposable Income per Person (excluding Rent)","2000","Southern","State=100","35.1"
"Index of Disposable Income per Person (excluding Rent)","2000","Eastern & Midland","State=100","48.05"
"Index of Disposable Income per Person (excluding Rent)","2001","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2001","Northern & Western","State=100","16.81"
"Index of Disposable Income per Person (excluding Rent)","2001","Southern","State=100","35.09"
"Index of Disposable Income per Person (excluding Rent)","2001","Eastern & Midland","State=100","48.09"
"Index of Disposable Income per Person (excluding Rent)","2002","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2002","Northern & Western","State=100","16.78"
"Index of Disposable Income per Person (excluding Rent)","2002","Southern","State=100","35.42"
"Index of Disposable Income per Person (excluding Rent)","2002","Eastern & Midland","State=100","47.8"
"Index of Disposable Income per Person (excluding Rent)","2003","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2003","Northern & Western","State=100","16.69"
"Index of Disposable Income per Person (excluding Rent)","2003","Southern","State=100","35.54"
"Index of Disposable Income per Person (excluding Rent)","2003","Eastern & Midland","State=100","47.76"
"Index of Disposable Income per Person (excluding Rent)","2004","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2004","Northern & Western","State=100","16.59"
"Index of Disposable Income per Person (excluding Rent)","2004","Southern","State=100","35.77"
"Index of Disposable Income per Person (excluding Rent)","2004","Eastern & Midland","State=100","47.65"
"Index of Disposable Income per Person (excluding Rent)","2005","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2005","Northern & Western","State=100","16.21"
"Index of Disposable Income per Person (excluding Rent)","2005","Southern","State=100","35.71"
"Index of Disposable Income per Person (excluding Rent)","2005","Eastern & Midland","State=100","48.08"
"Index of Disposable Income per Person (excluding Rent)","2006","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2006","Northern & Western","State=100","16.43"
"Index of Disposable Income per Person (excluding Rent)","2006","Southern","State=100","35.7"
"Index of Disposable Income per Person (excluding Rent)","2006","Eastern & Midland","State=100","47.87"
"Index of Disposable Income per Person (excluding Rent)","2007","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2007","Northern & Western","State=100","16.52"
"Index of Disposable Income per Person (excluding Rent)","2007","Southern","State=100","35.49"
"Index of Disposable Income per Person (excluding Rent)","2007","Eastern & Midland","State=100","47.99"
"Index of Disposable Income per Person (excluding Rent)","2008","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2008","Northern & Western","State=100","16.57"
"Index of Disposable Income per Person (excluding Rent)","2008","Southern","State=100","35.58"
"Index of Disposable Income per Person (excluding Rent)","2008","Eastern & Midland","State=100","47.85"
"Index of Disposable Income per Person (excluding Rent)","2009","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2009","Northern & Western","State=100","17.33"
"Index of Disposable Income per Person (excluding Rent)","2009","Southern","State=100","35.54"
"Index of Disposable Income per Person (excluding Rent)","2009","Eastern & Midland","State=100","47.13"
"Index of Disposable Income per Person (excluding Rent)","2010","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2010","Northern & Western","State=100","17.34"
"Index of Disposable Income per Person (excluding Rent)","2010","Southern","State=100","35.51"
"Index of Disposable Income per Person (excluding Rent)","2010","Eastern & Midland","State=100","47.15"
"Index of Disposable Income per Person (excluding Rent)","2011","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2011","Northern & Western","State=100","17.7"
"Index of Disposable Income per Person (excluding Rent)","2011","Southern","State=100","35.27"
"Index of Disposable Income per Person (excluding Rent)","2011","Eastern & Midland","State=100","47.03"
"Index of Disposable Income per Person (excluding Rent)","2012","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2012","Northern & Western","State=100","17.68"
"Index of Disposable Income per Person (excluding Rent)","2012","Southern","State=100","35.61"
"Index of Disposable Income per Person (excluding Rent)","2012","Eastern & Midland","State=100","46.72"
"Index of Disposable Income per Person (excluding Rent)","2013","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2013","Northern & Western","State=100","17.66"
"Index of Disposable Income per Person (excluding Rent)","2013","Southern","State=100","35.35"
"Index of Disposable Income per Person (excluding Rent)","2013","Eastern & Midland","State=100","46.99"
"Index of Disposable Income per Person (excluding Rent)","2014","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2014","Northern & Western","State=100","17.7"
"Index of Disposable Income per Person (excluding Rent)","2014","Southern","State=100","35.39"
"Index of Disposable Income per Person (excluding Rent)","2014","Eastern & Midland","State=100","46.91"
"Index of Disposable Income per Person (excluding Rent)","2015","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2015","Northern & Western","State=100","17.49"
"Index of Disposable Income per Person (excluding Rent)","2015","Southern","State=100","35.19"
"Index of Disposable Income per Person (excluding Rent)","2015","Eastern & Midland","State=100","47.32"
"Index of Disposable Income per Person (excluding Rent)","2016","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2016","Northern & Western","State=100","17.21"
"Index of Disposable Income per Person (excluding Rent)","2016","Southern","State=100","34.87"
"Index of Disposable Income per Person (excluding Rent)","2016","Eastern & Midland","State=100","47.92"
"Index of Disposable Income per Person (excluding Rent)","2017","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2017","Northern & Western","State=100","17.05"
"Index of Disposable Income per Person (excluding Rent)","2017","Southern","State=100","34.93"
"Index of Disposable Income per Person (excluding Rent)","2017","Eastern & Midland","State=100","48.02"
"Index of Disposable Income per Person (excluding Rent)","2018","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2018","Northern & Western","State=100","17.06"
"Index of Disposable Income per Person (excluding Rent)","2018","Southern","State=100","34.34"
"Index of Disposable Income per Person (excluding Rent)","2018","Eastern & Midland","State=100","48.6"
"Index of Disposable Income per Person (excluding Rent)","2019","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2019","Northern & Western","State=100","16.87"
"Index of Disposable Income per Person (excluding Rent)","2019","Southern","State=100","33.89"
"Index of Disposable Income per Person (excluding Rent)","2019","Eastern & Midland","State=100","49.24"
"Index of Disposable Income per Person (excluding Rent)","2020","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2020","Northern & Western","State=100","17.26"
"Index of Disposable Income per Person (excluding Rent)","2020","Southern","State=100","33.65"
"Index of Disposable Income per Person (excluding Rent)","2020","Eastern & Midland","State=100","49.09"
"Index of Disposable Income per Person (excluding Rent)","2021","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2021","Northern & Western","State=100","16.85"
"Index of Disposable Income per Person (excluding Rent)","2021","Southern","State=100","33.92"
"Index of Disposable Income per Person (excluding Rent)","2021","Eastern & Midland","State=100","49.23"
"Index of Disposable Income per Person (excluding Rent)","2022","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2022","Northern & Western","State=100","16.63"
"Index of Disposable Income per Person (excluding Rent)","2022","Southern","State=100","33.93"
"Index of Disposable Income per Person (excluding Rent)","2022","Eastern & Midland","State=100","49.45"
"Index of Disposable Income per Person (excluding Rent)","2023","Ireland","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2023","Northern & Western","State=100","16.62"
"Index of Disposable Income per Person (excluding Rent)","2023","Southern","State=100","33.81"
"Index of Disposable Income per Person (excluding Rent)","2023","Eastern & Midland","State=100","49.57"
